dialogue_id,speaker,turn,act_1,act_2,act_3
97_00000,USER,I'm interested in doing something fun. Is there any sort of Concert going on sometime soon?,INFORM,INFORM_INTENT,
97_00000,SYSTEM,What city are you wanting to check out?,REQUEST,,
97_00000,USER,"Let's see if there's anything happening on the 14th in Vancouver, BC. I would prefer a Blues concert.",INFORM,,
97_00000,SYSTEM,Okay. I pulled up 1 event that matches your interests. Looks like Smokey Robinson is performing at the PNE Amphitheatre on March 14th. It's going on at 7 pm. How does that sound?,OFFER,,
97_00000,USER,Where is that venue located?,REQUEST,,
97_00000,SYSTEM,It's over on 2901 East Hastings Street.,INFORM,,
97_00000,USER,"Okay, that sound perfect for me.",SELECT,,
97_00000,SYSTEM,Should I purchase the tickets for you now?,OFFER_INTENT,,
97_00000,USER,That's okay for now. I would like to check my bank account balance though please.,NEGATE_INTENT,,
97_00000,SYSTEM,What account did you want to check?,REQUEST,,
97_00000,USER,How about my checking account first.,INFORM,,
97_00000,SYSTEM,"Okay. You currently have $3,931.51 in your checking account.",OFFER,,
97_00000,USER,Alright. What is the balance of my savings account?,INFORM,REQUEST_ALTS,
97_00000,SYSTEM,"You have $5,022.31 available in your savings account.",OFFER,,
97_00000,USER,"Alright, thanks for checking.",SELECT,,
97_00000,SYSTEM,Did you need any funds to be transferred?,OFFER_INTENT,,
97_00000,USER,That's alright. I'm good on that for now. I'll catch you later.,NEGATE_INTENT,GOODBYE,
97_00000,SYSTEM,Okay. Enjoy the rest of your day!,GOODBYE,,
97_00001,USER,I want to find something interesting to do. I really like Games events like baseball.,INFORM,,INFORM_INTENT
97_00001,SYSTEM,What city are you in?,REQUEST,,
97_00001,USER,"I want something in Phoenix, AZ.",INFORM,,
97_00001,SYSTEM,I have found 10 for you. Arizona Vs La Dodgers is at Chase field today ay 6 pm.,OFFER,,
97_00001,USER,Where is the stadium exactly?,REQUEST,,
97_00001,SYSTEM,It's at 401 East Jefferson Street.,INFORM,,
97_00001,USER,Can you find something else actually?,REQUEST_ALTS,,
97_00001,SYSTEM,What about Arizona Vs Milwaukee at Chase field. This is on March 9th and starts at 8 pm.,OFFER,,
97_00001,USER,"Actually, can you find me something that is going on in New York City?",INFORM,REQUEST_ALTS,
97_00001,SYSTEM,Yeah there are 10 events here. What about Mets Vs Braves taking place at Citi Field. It's happening on March 13th at 6 pm.,OFFER,,
97_00001,USER,That sounds like a good one. Check my balance.,SELECT,,
97_00001,SYSTEM,What account do you want the balance for?,REQUEST,,
97_00001,USER,MY checking account please,INFORM,,
97_00001,SYSTEM,"You have $3,848.65 available in your checking account.",OFFER,,
97_00001,USER,"Ok, that's alright.",SELECT,,
97_00001,SYSTEM,Can I help with something else?,REQ_MORE,,
97_00001,USER,No that will be all.,NEGATE,THANK_YOU,
97_00001,SYSTEM,Have a wonderful day.,GOODBYE,,
97_00002,USER,"Could you help me find any interesting things to do? I like Games events, especially American Football. Something next Tuesday would be good.",INFORM,,
97_00002,SYSTEM,Any specific city I should look into?,REQUEST,,
97_00002,USER,Something around Stanford.,INFORM,,
97_00002,SYSTEM,There is 1 event that seems good. It is the Cardinal Vs Wildcats at Stanford Stadium. It will happen next Tuesday starting at 7 pm.,OFFER,,
97_00002,USER,What is the address of the venue?,REQUEST,,
97_00002,SYSTEM,It will be at 625 Nelson Road.,INFORM,,
97_00002,USER,Sounds good to me.,SELECT,,
97_00002,SYSTEM,Would you like to buy tickets for the event?,OFFER_INTENT,,
97_00002,USER,Not now. Can you check my balance?,NEGATE_INTENT,,
97_00002,SYSTEM,Which account should I check?,REQUEST,,
97_00002,USER,Use my checking account.,INFORM,,
97_00002,SYSTEM,"Your checking account balance is $5,043.51.",OFFER,,
97_00002,USER,"Ok, sounds about right.",SELECT,,
97_00002,SYSTEM,Would you like to transfer funds?,OFFER_INTENT,,
97_00002,USER,"No, I would not like to transfer.",NEGATE_INTENT,,
97_00002,SYSTEM,Anything else you need?,REQ_MORE,,
97_00002,USER,"No, thank you for the help.",NEGATE,THANK_YOU,
97_00002,SYSTEM,Have a good day.,GOODBYE,,
97_00003,USER,Find me some interesting to do,INFORM_INTENT,,
97_00003,SYSTEM,"Any particular in mind, it could be music or sports",REQUEST,,
97_00003,USER,i do like concert events,INFORM,,
97_00003,SYSTEM,any city prefrerred,REQUEST,,
97_00003,USER,Search for SFO,INFORM,,
97_00003,SYSTEM,I got 10 events. This evnt is Allan Rayman in August Hall on March 9th at 6 pm,OFFER,,
97_00003,USER,Thats good. Please tell me the checking account balance?,SELECT,,
97_00003,SYSTEM,"The checking account balance is $12,558.11",OFFER,,
97_00003,USER,"ok, how about my savings balance?",INFORM,REQUEST_ALTS,
97_00003,SYSTEM,"The savings account balance is $24,859.64",OFFER,,
97_00003,USER,"ok, thats it bye",SELECT,GOODBYE,
97_00003,SYSTEM,have a good day!,GOODBYE,,
97_00004,USER,"Are you able to find interesting activities to do around Atlanta, GA? I like Sports events, especially American football.",INFORM,,
97_00004,SYSTEM,"I found a spot event, Falcons vs Buccaneers taking place at Mercedes-Benz Stadium which will be next Monday at 7:30 pm.",OFFER,,
97_00004,USER,"This is good, however do you have anything else?",REQUEST_ALTS,,
97_00004,SYSTEM,I found another event Falcons vs Jaguars taking place at Mercedes-Benz Stadium which will be on March 9th at 6 pm.,OFFER,,
97_00004,USER,May I have the address of the venue?,REQUEST,,
97_00004,SYSTEM,The venue is located at 1 AMB Drive Northwest.,INFORM,,
97_00004,USER,This is great!,SELECT,,
97_00004,SYSTEM,Is there anything else you need assistance with?,REQ_MORE,,
97_00004,USER,May I know my account balance?,INFORM_INTENT,,
97_00004,SYSTEM,Which account balance would you like to know?,REQUEST,,
97_00004,USER,Please check the balance of my checking account.,INFORM,,
97_00004,SYSTEM,"The balance of your checking account is $7,194.51.",OFFER,,
97_00004,USER,Thank you.,SELECT,,
97_00004,SYSTEM,Would you like to make a transfer with your checking account?,OFFER_INTENT,,
97_00004,USER,"No thanks, bye.",NEGATE_INTENT,GOODBYE,
97_00004,SYSTEM,Have a great day.,GOODBYE,,
97_00005,USER,I'm bored. Can you suggest something interesting to do?,INFORM_INTENT,,
97_00005,SYSTEM,I sure can. Can you please tell me what type of events do you like and in which city should I search?,REQUEST,,
97_00005,USER,"Of course, please search for Music events in Berkeley.",INFORM,,
97_00005,SYSTEM,Would you like to go to the Berkeley World Music Festival on March 11th? It's located at 2500 Durant Ave and it starts at 6:30 pm.,OFFER,,
97_00005,USER,"Sounds perfect. Can you also look for some other events, this time in the Philadelphia area?",INFORM,REQUEST_ALTS,
97_00005,SYSTEM,"On March 13th, there's Blueface at the Fillmore Philadelphia. It starts at 6 pm.",OFFER,,
97_00005,USER,This sounds great. Anything else?,REQUEST_ALTS,,
97_00005,SYSTEM,"Today, also at the Fillmore Philadelphia, there's Conan Gray starting at 8:30 pm.",OFFER,,
97_00005,USER,Awesome! Can you please check my balance?,SELECT,,
97_00005,SYSTEM,Sure! For which account?,REQUEST,,
97_00005,USER,My checking account!,INFORM,,
97_00005,SYSTEM,"At the moment you have $4,473.28 in your checking account.",OFFER,,
97_00005,USER,Perfect. Please also check the balance of my savings account.,INFORM,REQUEST_ALTS,
97_00005,SYSTEM,"In you savings account you have $20,942.50",OFFER,,
97_00005,USER,Perfect. Thanks so much for your help!,SELECT,GOODBYE,
97_00005,SYSTEM,Have a good one!,GOODBYE,,
