dialogue_id,speaker,turn,act_1,act_2,act_3
118_00000,USER,"My main car's being repaired right now, so I need to pick up a compact car at about three pm, and keep it until the 10th of March.",INFORM,,
118_00000,SYSTEM,Pick it up from where and when?,REQUEST,,
118_00000,USER,From Vancouver on Monday next week.,INFORM,,
118_00000,SYSTEM,I found 4 cars you might like. How about a compact Bolt you can pick up at Pacific Central Station on March 4th?,OFFER,,
118_00000,USER,Sounds good to me.,SELECT,,
118_00000,SYSTEM,Want to reserve it?,OFFER_INTENT,,
118_00000,USER,"No, not now. Can you find me a bus going there?",NEGATE_INTENT,,
118_00000,SYSTEM,On March 4th?,REQUEST,,
118_00000,USER,On this Saturday.,INFORM,,
118_00000,SYSTEM,Where'll you be departing from?,REQUEST,,
118_00000,USER,"From Seattle, WA.",INFORM,,
118_00000,SYSTEM,"I found 9 buses, including a 0 transfer one that leaves at 6:40 am and costs $26. How's that sound to you?",OFFER,,
118_00000,USER,Sounds good. I'd like to get a round trip flight.,INFORM_INTENT,,
118_00000,SYSTEM,To return on March 10th?,REQUEST,,
118_00000,USER,That is correct.,AFFIRM,,
118_00000,SYSTEM,Will you leave on March 4th?,REQUEST,,
118_00000,USER,No. The 3rd.,INFORM,,
118_00000,SYSTEM,I found 2 flights. How about this $317 Delta Airlines flight from 8:45 am to 2:50 am?,OFFER,,
118_00000,USER,Sure. Thanks. I need nothing more.,SELECT,GOODBYE,
118_00000,SYSTEM,Have a great day.,GOODBYE,,
118_00001,USER,I'd like to find a rental car to rent on the 10th.,INFORM,INFORM_INTENT,
118_00001,SYSTEM,What time will you pick it up? And where do you want to get it from?,REQUEST,,
118_00001,USER,I'd like to pick it up in Philly around half past 9 in the morning.,INFORM,,
118_00001,SYSTEM,How long do you need it?,REQUEST,,
118_00001,USER,I need it until the 13th.,INFORM,,
118_00001,SYSTEM,There are 7 cars that might work. There's a Standard Corolla available for pickup on March 10th from Intercity Terminal.,OFFER,,
118_00001,USER,Is there another option? I need a small car until March 11th.,INFORM,,REQUEST_ALTS
118_00001,SYSTEM,There are 5 cars that might work. There's a Compact car available on March 10th from Intercity Terminal. It's a Cooper.,OFFER,,
118_00001,USER,Is there anything else?,REQUEST_ALTS,,
118_00001,SYSTEM,There's a nice Compact car available for pickup on March 10th at Intercity Terminal. It's a Fit.,OFFER,,
118_00001,USER,That will work.,SELECT,,
118_00001,SYSTEM,Would you like to reserve the car?,OFFER_INTENT,,
118_00001,USER,"No, not right now.",NEGATE_INTENT,,
118_00001,SYSTEM,Is there anything else I can help you with?,REQ_MORE,,
118_00001,USER,Could you help me find a bus going there?,INFORM_INTENT,,
118_00001,SYSTEM,Where are you wanting to leave from? And are you leaving on March 10th?,REQUEST,,
118_00001,USER,I am leaving from Washington on the 2nd of this month.,INFORM,,
118_00001,SYSTEM,I have found 8 buses that might work. There's a bus leaving at 7:10 am that costs $30 and has 0 transfers.,OFFER,,
118_00001,USER,Where would I be arriving? And where would the bus be leaving from?,REQUEST,,
118_00001,SYSTEM,Th bus will leave from Union Station and arrive at Intercity Terminal.,INFORM,,
118_00001,USER,That works for me.,SELECT,,
118_00001,SYSTEM,Would you like to buy tickets for the bus?,OFFER_INTENT,,
118_00001,USER,"No, I don't want to right now.",NEGATE_INTENT,,
118_00001,SYSTEM,Is there anything else?,REQ_MORE,,
118_00001,USER,I'd like to buy a round trip flight to get there. Please find me Economy tickets for a flight on March 6th.,INFORM,,INFORM_INTENT
118_00001,SYSTEM,Are you wanting to come back on March 11th?,REQUEST,,
118_00001,USER,I want one ticket and want to come back on the 13th.,INFORM,,
118_00001,SYSTEM,I have found 2 flights that might work. There's an American Airlines flight that leaves at 5:10 pm and returns at 9:45 am that costs $150.,OFFER,,
118_00001,USER,"Okay, that's great.",SELECT,,
118_00001,SYSTEM,Is there anything else?,REQ_MORE,,
118_00001,USER,"No, thanks for your help.",NEGATE,THANK_YOU,
118_00001,SYSTEM,Have a great day!,GOODBYE,,
118_00002,USER,I want car half past 4 in the evening,INFORM,INFORM_INTENT,
118_00002,SYSTEM,when do you want?,REQUEST,,
118_00002,USER,march 12th from philadelphia from the 8th,INFORM,,
118_00002,SYSTEM,30th street station pickup march 8th in standard car altima,OFFER,,
118_00002,USER,what is the cost?,REQUEST,,
118_00002,SYSTEM,it is $120,INFORM,,
118_00002,USER,anything else then?,REQUEST_ALTS,,
118_00002,SYSTEM,car at phl international airport on march 8th for standard car civic,OFFER,,
118_00002,USER,what is cost?,REQUEST,,
118_00002,SYSTEM,$128 fully then,INFORM,,
118_00002,USER,anything else maybe?,REQUEST_ALTS,,
118_00002,SYSTEM,intercity terminal march 8th standard corolla,OFFER,,
118_00002,USER,that is good,SELECT,,
118_00002,SYSTEM,wanna get it?,OFFER_INTENT,,
118_00002,USER,No I do not,NEGATE_INTENT,,
118_00002,SYSTEM,It is march 8th,REQUEST,,
118_00002,USER,washington and leaving the 1st,INFORM,,
118_00002,SYSTEM,leaves 7:10 am and is $30 and has 0 transfers,OFFER,,
118_00002,USER,what bus station?,REQUEST,,
118_00002,SYSTEM,union station then,INFORM,,
118_00002,USER,what bus station arriving at?,REQUEST,,
118_00002,SYSTEM,intercity terminal then,INFORM,,
118_00002,USER,are there any other buses?,REQUEST_ALTS,,
118_00002,SYSTEM,7:50 am and $27 and 0 transfers,OFFER,,
118_00002,USER,that is good,SELECT,,
118_00002,SYSTEM,wanna get tickets?,OFFER_INTENT,,
118_00002,USER,yes day after tomorrow 4 people,INFORM,,
118_00002,SYSTEM,coming back march 12th?,REQUEST,,
118_00002,USER,return 14th of march,INFORM,,
118_00002,SYSTEM,american airlines takes off 5:10 pm returns 9:45 am and is $151,OFFER,,
118_00002,USER,does it have 1 stop?,REQUEST,,
118_00002,SYSTEM,it has 1 stop,INFORM,,
118_00002,USER,okay thank you,SELECT,GOODBYE,
118_00002,SYSTEM,have a good one,GOODBYE,,
118_00003,USER,I need a car to rent,INFORM_INTENT,,
118_00003,SYSTEM,When do you need it? Until?,REQUEST,,
118_00003,USER,"I need from 11th of this month, until the 12th",INFORM,,
118_00003,SYSTEM,Where do you want to take it from and at what time?,REQUEST,,
118_00003,USER,I need car in NYC on March 10th. I prefer to pick it up around evening 6:30,INFORM,,
118_00003,SYSTEM,"There are 5 cars. At Grand Central Station on March 10th is available a Standard car, a Accord",OFFER,,
118_00003,USER,How much does it cost to rent the Accord?,REQUEST,,
118_00003,SYSTEM,It costs $70 in total,INFORM,,
118_00003,USER,Are there any other models available?,REQUEST_ALTS,,
118_00003,SYSTEM,"At JFK International Airport on March 10th there's a Camry, a Standard car",OFFER,,
118_00003,USER,How much does it cost to rent the Camry?,REQUEST,,
118_00003,SYSTEM,It costs $58 in total,INFORM,,
118_00003,USER,What else do you propose?,REQUEST_ALTS,,
118_00003,SYSTEM,"At JFK International Airport on March 10th there's a Civic, Standard car",OFFER,,
118_00003,USER,"Yes, I want it! Now I need a bus to go there",SELECT,,
118_00003,SYSTEM,What is the city of departure?,REQUEST,,
118_00003,USER,The city is Washington,INFORM,,
118_00003,SYSTEM,Is the departure day March 10th?,REQUEST,,
118_00003,USER,"No, It's 6th of this month",INFORM,,
118_00003,SYSTEM,There's a bus at 8:10 am with 0 transfers. It costs $32,OFFER,,
118_00003,USER,"Yes, It's fine!",SELECT,,
118_00003,SYSTEM,Do you want to book tickets?,OFFER_INTENT,,
118_00003,USER,"Not now, thanks",NEGATE_INTENT,,
118_00003,SYSTEM,Do you need anything else?,REQ_MORE,,
118_00003,USER,"Yes, I need a round trip flight to go there. I need 1 ticket on 6th of this month",INFORM,,INFORM_INTENT
118_00003,SYSTEM,Is the return date March 12th?,REQUEST,,
118_00003,USER,"No, the return on March 13th",INFORM,,
118_00003,SYSTEM,"There's an American Airlines flight at 6:05 am, with return at 10:55 am. It costs $85",OFFER,,
118_00003,USER,Thanks for helping!,SELECT,GOODBYE,
118_00003,SYSTEM,Have a nice day,GOODBYE,,
118_00004,USER,I like to find a car to pick up from SF on the 7th of march around three in the afternoon.,INFORM,,
118_00004,SYSTEM,To what date you need the car?,REQUEST,,
118_00004,USER,I want till 9th of this month.,INFORM,,
118_00004,SYSTEM,There is a nice standard car Altima is available at SFO International Airport for pick up on March 7th,OFFER,,
118_00004,USER,Can i know it's total cost?,REQUEST,,
118_00004,SYSTEM,Your total booking cost is $62,INFORM,,
118_00004,USER,That is fine,SELECT,,
118_00004,SYSTEM,You require car booking?,OFFER_INTENT,,
118_00004,USER,"No, not now. Can you please look into any bus going there?",NEGATE_INTENT,,
118_00004,SYSTEM,Are you leaving on March 7th?,REQUEST,,
118_00004,USER,I will be leaving on 6th of March and it is for four people,INFORM,,
118_00004,SYSTEM,Which place are you leaving from?,REQUEST,,
118_00004,USER,I will be departing from Las Vegas,INFORM,,
118_00004,SYSTEM,The bus will be leaving at 10:50 am and it costs $50 with 0 transfers,OFFER,,
118_00004,USER,Which is the bus station i will be reaching?,REQUEST,,
118_00004,SYSTEM,The reaching station is Salesforce transit Center,INFORM,,
118_00004,USER,Which station i am departing from?,REQUEST,,
118_00004,SYSTEM,The station of departing is Union Plaza,INFORM,,
118_00004,USER,that is fine,SELECT,,
118_00004,SYSTEM,You need to buy bus tickets?,OFFER_INTENT,,
118_00004,USER,"No, i don't want to buy bus tickets now",NEGATE_INTENT,,
118_00004,SYSTEM,Is there any other help from me?,REQ_MORE,,
118_00004,USER,I require to search for a round trip flight to get there,INFORM_INTENT,,
118_00004,SYSTEM,When do you need to leave-is it on March 7th or March 6th or any other day?,REQUEST,,
118_00004,USER,I need to leave on 6th of March and returning back on 9th of this month and search for Economy class tickets for me,INFORM,,
118_00004,SYSTEM,I have selected 4 flights for you and how about flying in American Airlines? It takes off at 5:30 am and retunring back at 5:30 pm with ticket costing at $119,OFFER,,
118_00004,USER,That is perfect,SELECT,,
118_00004,SYSTEM,Is there any other help from me?,REQ_MORE,,
118_00004,USER,"No, thank you",NEGATE,THANK_YOU,
118_00004,SYSTEM,Have a nice day,GOODBYE,,
118_00005,USER,I need to pick up a rental car at 11 in the morning.,INFORM,INFORM_INTENT,
118_00005,SYSTEM,I can help with that. When and where do you want to pick it up?,REQUEST,,
118_00005,USER,I need to pick it up in Portland on March 7th.,INFORM,,
118_00005,SYSTEM,And when will you plan on returning the car?,REQUEST,,
118_00005,USER,Return date of 12th of March.,INFORM,,
118_00005,SYSTEM,"Alright, one option is a Standard car at the Portland Bus Station. An Accord should be ready there for pick up on March 7th.",OFFER,,
118_00005,USER,Ok cool. Can you help me find a bus going there?,SELECT,,
118_00005,SYSTEM,Sure. Where are you leaving from? Do you plan on leaving on March 7th?,REQUEST,,
118_00005,USER,"I want to leave Vancouver, BC on the 1st of March.",INFORM,,
118_00005,SYSTEM,"I found 8 possible buses. One option is a $42 ticket with 0 transfers, leaving at 9:20 am.",OFFER,,
118_00005,USER,And what station does that leave from?,REQUEST,,
118_00005,SYSTEM,Leaving from Pacific Central Station.,INFORM,,
118_00005,USER,Ok perfect.,SELECT,,
118_00005,SYSTEM,Do you want to go ahead and purchase those tickets now?,OFFER_INTENT,,
118_00005,USER,"No, I will do it later.",NEGATE_INTENT,,
118_00005,SYSTEM,Would you like any other assistance?,REQ_MORE,,
118_00005,USER,"Yeah, I need to fly there. Can you find an Economy ticket on United Airlines leaving Tuesday next week?",INFORM,,
118_00005,SYSTEM,Would you like to return on March 12th?,REQUEST,,
118_00005,USER,"No, returning the 14th of this month.",INFORM,,
118_00005,SYSTEM,I found 1 possible flight. A $244 United Airlines flight leaving at 6:05 pm. Returning flight leaves at 10:35 am.,OFFER,,
118_00005,USER,"Ok cool, that's all I was looking for, thank you.",SELECT,GOODBYE,
118_00005,SYSTEM,Enjoy your trip!,GOODBYE,,
118_00006,USER,I need rental car,INFORM_INTENT,,
118_00006,SYSTEM,where and when?>,REQUEST,,
118_00006,USER,Thursday next week standard from march 2nd and will get it at 2 in the afternoon,INFORM,,
118_00006,SYSTEM,where will you get it from?,REQUEST,,
118_00006,USER,"I will get it in portland, or",INFORM,,
118_00006,SYSTEM,nice car pdx international airport 8 cars on march 2nd which is standard car accord,OFFER,,
118_00006,USER,total cost please,REQUEST,,
118_00006,SYSTEM,$140 in full,INFORM,,
118_00006,USER,anything rlse there?,REQUEST_ALTS,,
118_00006,SYSTEM,Portland bus station on march 2nd for standard car in camry,OFFER,,
118_00006,USER,help me get a bus there,SELECT,,
118_00006,SYSTEM,will you leave march 2nd?,REQUEST,,
118_00006,USER,leaving from Seattle and 1st of this month,INFORM,,
118_00006,SYSTEM,bus leaves 6:10 am and is $30 and has 0 transfers,OFFER,,
118_00006,USER,I want a trip there,INFORM_INTENT,,
118_00006,SYSTEM,march 1st or march 2nd and are you coming back march 7th?,REQUEST,,
118_00006,USER,travelling 1st of this month returning march 13th,INFORM,,
118_00006,SYSTEM,american airlines 2 flights leave at 8:05 am and returns 6 am and it is $80,OFFER,,
