dialogue_id,speaker,turn,act_1,act_2,act_3
103_00000,USER,I would like to find an attraction.,INFORM_INTENT,,
103_00000,SYSTEM,In what city should I search?,REQUEST,,
103_00000,USER,I would like an attraction in Kuala Lumpur.,INFORM,,
103_00000,SYSTEM,There are 10 attractions. There is 99 Wonderland Park it's a nice Park.,OFFER,,INFORM_COUNT
103_00000,USER,Check my calendar to see when I am free on that day.,INFORM_INTENT,,
103_00000,SYSTEM,On what date do you want to look?,REQUEST,,
103_00000,USER,I would like the 3rd of this month.,INFORM,,
103_00000,SYSTEM,On March 3rd you have an empty slot from 12:15 pm to 9 pm.,OFFER,,
103_00000,USER,Can I get a cab to get there for four people?,SELECT,,
103_00000,SYSTEM,Do you want a shared ride?,REQUEST,,
103_00000,USER,"Yes, a shared ride works for me.",INFORM,,
103_00000,SYSTEM,Booking a shared ride to 99 Wonderland Park for 4 people.,CONFIRM,,
103_00000,USER,"No, It's only for 3 people.",INFORM,NEGATE,
103_00000,SYSTEM,Booking a cab for 3 people.,CONFIRM,,
103_00000,USER,"Yes, how long is the ride and how much is the cost?",REQUEST,,AFFIRM
103_00000,SYSTEM,Your cab is on the way. The ride is 18 minutes and the cost is $11.43.,INFORM,,NOTIFY_SUCCESS
103_00000,USER,Thank you for your help.,THANK_YOU,,
103_00000,SYSTEM,Can I help with anything else?,REQ_MORE,,
103_00000,USER,"No, that is all.",NEGATE,THANK_YOU,
103_00000,SYSTEM,Have a good day.,GOODBYE,,
103_00001,USER,"can you show me some cool museum type places to visit in london, preferably free ones.",INFORM,,
103_00001,SYSTEM,there's 10 places i found. there's a museum called the apsley house.,OFFER,,INFORM_COUNT
103_00001,USER,that works. am i free on the 3rd of march?,INFORM,INFORM_INTENT,
103_00001,SYSTEM,on march 3rd you're free from 1:45 pm until 3 pm.,OFFER,,
103_00001,USER,sounds good to me.,SELECT,,
103_00001,SYSTEM,do you want to add it to your calendar.,OFFER_INTENT,,
103_00001,USER,"no thanks, can you get me a cab there?",NEGATE_INTENT,,
103_00001,SYSTEM,how many people will be riding?,REQUEST,,
103_00001,USER,it'll be for four people.,INFORM,,
103_00001,SYSTEM,do you want a shared ride?,REQUEST,,
103_00001,USER,that's fine with me.,INFORM,,
103_00001,SYSTEM,you want a shred cab for 4 people to apsley house?,CONFIRM,,
103_00001,USER,yes please.,AFFIRM,,
103_00001,SYSTEM,it's been booked and it's on the way.,NOTIFY_SUCCESS,,
103_00001,USER,"thanks, that's everything.",THANK_YOU,GOODBYE,
103_00001,SYSTEM,have a good day.,GOODBYE,,
103_00002,USER,Give me some show attractions place?,INFORM_INTENT,,
103_00002,SYSTEM,What location would you like me to search?,REQUEST,,
103_00002,USER,Check in Paris please.,INFORM,,
103_00002,SYSTEM,May I recommend the Place of Worship called American Church in Paris.,OFFER,,
103_00002,USER,"Okay, great. check when I have free time on March 13th.",INFORM,INFORM_INTENT,
103_00002,SYSTEM,On March 13th you have free time from 5:30 pm until 9 pm.,OFFER,,
103_00002,USER,"Great, I will need a cab there for one person please.",SELECT,,
103_00002,SYSTEM,Would you like to use a shared ride?,REQUEST,,
103_00002,USER,"That is ok, go ahead and book.",INFORM,,
103_00002,SYSTEM,Please confirm ordering a shared ride for 1 person headed to American Church in Paris. Is this correct?,CONFIRM,,
103_00002,USER,yeah that's right.,AFFIRM,,
103_00002,SYSTEM,"Great, your ride is booked and in route.",NOTIFY_SUCCESS,,
103_00002,USER,Thanks. Good bye.,THANK_YOU,GOODBYE,
103_00002,SYSTEM,your welcome. Good bye.,GOODBYE,,
103_00003,USER,Can you find some attractions for me? I prefer a garden.,INFORM,INFORM_INTENT,
103_00003,SYSTEM,Where should I search these attractions from?,REQUEST,,
103_00003,USER,Please search for anything from Vancouver.,INFORM,,
103_00003,SYSTEM,I found 5 attractions but I suggest you check out Bloedel Conservatory. This one's a Park.,OFFER,,INFORM_COUNT
103_00003,USER,Great. I would want to find something else. How about any attractions in New York City?,INFORM,REQUEST_ALTS,
103_00003,SYSTEM,I found 10 attractions but I highly suggest you check Astoria Park. This one's a Park.,OFFER,,INFORM_COUNT
103_00003,USER,Please find their phone number for me. Is the entrance fee free?,REQUEST,,
