dialogue_id,speaker,turn,act_1,act_2,act_3
58_00000,USER,I need to find round trip flights please.,INFORM_INTENT,,
58_00000,SYSTEM,"Where are you leaving from, and where will you travel to? When do you plan to return?",REQUEST,,
58_00000,USER,"I am leaving from San Fran and going to Toronto, Ontario. I want to get back on the 5th of this month.",INFORM,,
58_00000,SYSTEM,When would you like to leave?,REQUEST,,
58_00000,USER,I want to leave later today if possible.,INFORM,,
58_00000,SYSTEM,I have 2 flights for you. American Airlines has one flight leaving at 7:05 am for $290. The return flight departs at 10:05 am.,OFFER,,
58_00000,USER,What else is available?,REQUEST_ALTS,,
58_00000,SYSTEM,United Airlines has a flight for $281 that leaves at 9:15 am. The return flight takes off at 5:35 pm.,OFFER,,
58_00000,USER,That one sounds good. Please buy tickets for me. I need economy tickets for 3 people.,INFORM,,INFORM_INTENT
58_00000,SYSTEM,"Please confirm your details: You are purchasing 3 economy tickets from San Francisco to Toronto. You're flying on United Airlines, leaving March 1st at 9:15 am. Your return flight is on March 5th at 5:35 pm.",CONFIRM,,
58_00000,USER,"Yes, that's right. When does the onward flight get in?",REQUEST,AFFIRM,
58_00000,SYSTEM,Your tickets are confirmed. The outbound flight arrives at 7:19 pm.,INFORM,NOTIFY_SUCCESS,
58_00000,USER,"Thanks, that's perfect. Can you find me some attractions there?",THANK_YOU,,
58_00000,SYSTEM,I suggest 3D Toronto sign. That's a popular tourist attraction.,OFFER,,
58_00000,USER,Sounds good.,SELECT,,
58_00000,SYSTEM,Is there anything else I can do for you now?,REQ_MORE,,
58_00000,USER,"No, you have been very helpful.",NEGATE,THANK_YOU,
58_00000,SYSTEM,Have a great trip!,GOODBYE,,
58_00001,USER,Please find me a round trip flight.,INFORM_INTENT,,
58_00001,SYSTEM,Where are you going?,REQUEST,,
58_00001,USER,I am going to Phoenix.,INFORM,,
58_00001,SYSTEM,When are you coming back? Where are you leaving from?,REQUEST,,
58_00001,USER,I am leaving on March 5th and returning on the 7th of this month. I am leaving from Seattle.,INFORM,,
58_00001,SYSTEM,I only found 1 flight from United Airlines leaving at 8:30 pm. The return flight leaves at 6:10 pm. The ticket is $215.,OFFER,,
58_00001,USER,That is perfect.,SELECT,,
58_00001,SYSTEM,Anything else?,REQ_MORE,,
58_00001,USER,I need three tickets in economy.,INFORM,,INFORM_INTENT
58_00001,SYSTEM,"Please confirm, flight leaving Seattle for Phoenix on United Airlines. Leaving March 5th at 8:30 pm and returning March 7th at 6:10 pm. Reserved 3 economy tickets.",CONFIRM,,
58_00001,USER,"Yes, what airport are we leaving from?",REQUEST,AFFIRM,
